Car Company,Car Model,Style Name,Year,Mileage,Transmission Type,Engine,Fuel Type,Body Type,Price,Link
Nissan,Altima,2.5 S FWD,2020,21484,Automatic,2.5L Inline-4 Gas,Gas,Sedan,15748.0,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV7LC255821
Ford,Fusion,SE FWD,2016,115457,Automatic,2.5L Inline-4 Gas,Gas,Sedan,10995.0,https://www.truecar.com/used-cars-for-sale/listing/3FA6P0H71GR331743
Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,106062,Automatic,3.3L V-6 Gas,Gas,Pickup Truck,25990.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1EB8KFA65084
Nissan,Altima,2.5 S FWD,2020,67179,Automatic,2.5L Inline-4 Gas,Gas,Sedan,17951.0,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV8LC193362
Dodge,Charger,SXT RWD,2019,57400,Automatic,3.6L V-6 Gas,Gas,Sedan,19758.0,https://www.truecar.com/used-cars-for-sale/listing/2C3CDXBG9KH717617
Chevrolet,Traverse,LT Cloth with 1LT FWD,2020,180320,Automatic,3.6L V-6 Gas,Gas,SUV,16995.0,https://www.truecar.com/used-cars-for-sale/listing/1GNERGKW8LJ149932
Chevrolet,Equinox,LT with 1LT AWD,2019,36179,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,SUV,18900.0,https://www.truecar.com/used-cars-for-sale/listing/2GNAXUEV9K6153053
Nissan,Sentra,SV CVT,2019,54310,Automatic,1.8L Inline-4 Gas,Gas,Sedan,15495.0,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP1KY246537
Toyota,Mirai,Sedan,2019,61368,Automatic,L - Hydrogen,Hydrogen,Sedan,15000.0,https://www.truecar.com/used-cars-for-sale/listing/JTDBVRBD1KA007230
Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,29954,Automatic,2.7L V-6 Gas Turbocharged,Gas,Pickup Truck,34989.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1EP4KFC59154
Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2020,79400,Automatic,3.5L V-6 Gas Turbocharged,Gas,Pickup Truck,30510.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1E40LFB21733
Hyundai,Elantra,SEL 2.0L IVT,2020,39931,Automatic,2.0L Inline-4 Gas,Gas,Sedan,15837.0,https://www.truecar.com/used-cars-for-sale/listing/5NPD84LF5LH517741
Kia,Optima,LX Automatic,2020,63456,Automatic,2.4L Inline-4 Gas,Gas,Sedan,16994.0,https://www.truecar.com/used-cars-for-sale/listing/5XXGT4L39LG388111
